Date,Price,Open,High,Low,Vol.,Change %
24/02/2015,30145.6,29793.13,30171.43,29790.46,,0.0118
24/02/2015,34.18,33.1,34.18,33.1,288530.0,0.0498
24/02/2015,39.98,39.98,39.98,39.98,118900.0,0.0499
24/02/2015,3.75,3.69,3.84,3.6,27230000.0,0.0417
24/02/2015,111.2,112.0,112.0,109.2,5560000.0,0.0
24/02/2015,824.01,820.0,824.01,820.0,55220.0,0.0049
25/02/2015,44.0,41.97,44.0,44.0,239250.0,0.1006
25/02/2015,34.31,34.5,34.75,34.31,604800.0,0.0038
25/02/2015,125.02,129.99,126.0,124.31,605440.0,-0.0037
25/02/2015,110.19,106.8,111.16,106.8,607490.0,-0.0091
25/02/2015,824.01,857.99,0.0,0.0,127560.0,0.0
25/02/2015,154.0,153.96,154.0,153.9,1160000.0,0.0
25/02/2015,3.66,3.85,3.9,3.66,33660000.0,-0.024
25/02/2015,30195.56,30167.54,30217.67,30050.76,,0.0017
25/02/2015,0.73,0.74,0.74,0.72,936430.0,-0.0135
25/02/2015,18.75,18.58,18.87,18.58,23500000.0,0.0
26/02/2015,3.48,3.66,3.6,3.48,27160000.0,-0.0492
26/02/2015,46.2,46.2,46.2,44.17,41500.0,0.05
26/02/2015,30045.56,30195.56,30223.74,30019.95,,-0.005
26/02/2015,123.01,123.01,123.01,123.01,67770.0,-0.0161
26/02/2015,0.74,0.72,0.74,0.72,1750000.0,0.0137
26/02/2015,839.0,839.0,839.0,839.0,77640.0,0.0182
26/02/2015,34.5,34.5,34.5,34.5,7370000.0,0.0055
26/02/2015,108.41,109.1,109.6,108.0,11360000.0,-0.0162
26/02/2015,18.0,18.75,18.79,17.9,44530000.0,-0.04
26/02/2015,153.5,154.0,154.0,153.4,157850.0,-0.0032
27/02/2015,112.0,108.13,113.8,108.13,8090000.0,0.0331
27/02/2015,820.0,849.9,830.0,820.0,248690.0,-0.0226
27/02/2015,17.6,18.0,18.0,17.59,17920000.0,-0.0222
27/02/2015,44.0,46.2,0.0,0.0,37190.0,-0.0475999999999999
27/02/2015,3.47,3.65,3.55,3.47,19860000.0,-0.0029
